date,match_a,match_b,n_h2h_a,n_h2h_b,prob_a,prob_b,odds_src,odds_a_H,odds_a_D,odds_a_A,odds_b_H,odds_b_D,odds_b_A,actual_pair,config_rank,excluded,remaining,win_rate_pct,actual_covered,dutch_is_profitable,dutch_prob_sum,dutch_profit,dutch_profit_pct
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,1,HD|HA,HH|DH|DD|DA|AH|AD|AA,96.0,True,False,1.0076,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,2,HD|AD,HH|HA|DH|DD|DA|AH|AA,94.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,3,HD|AA,HH|HA|DH|DD|DA|AH|AD,94.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,4,HA|AD,HH|HD|DH|DD|DA|AH|AA,94.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,5,HA|AA,HH|HD|DH|DD|DA|AH|AD,94.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,6,HH|HD,HA|DH|DD|DA|AH|AD|AA,92.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,7,HH|HA,HD|DH|DD|DA|AH|AD|AA,92.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,8,AD|AA,HH|HD|HA|DH|DD|DA|AH,92.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,9,HH|AD,HD|HA|DH|DD|DA|AH|AA,90.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,10,HH|AA,HD|HA|DH|DD|DA|AH|AD,90.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,11,HD|AH,HH|HA|DH|DD|DA|AD|AA,86.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,12,HA|AH,HH|HD|DH|DD|DA|AD|AA,86.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,13,HD|DD,HH|HA|DH|DA|AH|AD|AA,84.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,14,HD|DA,HH|HA|DH|DD|AH|AD|AA,84.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,15,HA|DD,HH|HD|DH|DA|AH|AD|AA,84.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,16,HA|DA,HH|HD|DH|DD|AH|AD|AA,84.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,17,AH|AD,HH|HD|HA|DH|DD|DA|AA,84.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,18,AH|AA,HH|HD|HA|DH|DD|DA|AD,84.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,19,HH|AH,HD|HA|DH|DD|DA|AD|AA,82.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,20,DD|AD,HH|HD|HA|DH|DA|AH|AA,82.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,21,DD|AA,HH|HD|HA|DH|DA|AH|AD,82.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,22,DA|AD,HH|HD|HA|DH|DD|AH|AA,82.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,23,DA|AA,HH|HD|HA|DH|DD|AH|AD,82.0,True,,,,
2020-10-17,Everton vs Liverpool,Man City vs Arsenal,10,10,H=0.1000 D=0.7000 A=0.2000,H=0.6000 D=0.2000 A=0.2000,B365,3.75,4.2,1.83,1.44,5.0,6.5,DH,24,HH|DD,HD|HA|DH|DA|AH|AD|AA,80.0,True,,,,
